Name,Location,Paths,ID,Desc.,km,km change,Type,Device,Device direction,Track ID
N285,262733.5935902246,313949.1965938848,P1895,P1896,Standard Gauge Track,null,0.0,,,,,
N291,262768.08678782807,313990.34277099237,P1896,P1897,Standard Gauge Track,null,0.0,,,,,
N294,262785.60214026546,314015.2660297505,P1897,P1898,Standard Gauge Track,null,0.0,,,,,
N297,262812.7332524759,314065.3372693585,P1898,P1899,Standard Gauge Track,null,0.0,,,,,
N301,262826.8502539512,314106.14422674815,P1899,P1900,Standard Gauge Track,null,0.0,,,,,
N304,262833.6976205282,314132.99705945695,P1900,P1901,Standard Gauge Track,null,0.0,,,,,MFM DOWN
N308,262840.2752544338,314171.90747064224,P1901,P1902,Standard Gauge Track,null,0.0,,,,,MFM UP
N312,262842.8599249165,314207.17960218486,P1902,P1903,Standard Gauge Track,null,0.0,,,,,
N314,262842.33999999997,314238.6,P1903,P1904,Standard Gauge Track,null,0.0,,,,,
N319,262839.73020362516,314273.71836727083,P1904,P1905,Standard Gauge Track,null,0.0,,,,,
N323,262832.3212857795,314312.26308971614,P1905,P1906,Standard Gauge Track,null,0.0,,,,,
N327,262816.0339970812,314366.90840236365,P1906,P1907,Standard Gauge Track,null,0.0,,,,,
N333,262794.9980866,314412.64200457797,P1907,P1908,Standard Gauge Track,null,0.0,,,,,
N335,262784.4728846798,314430.68361156347,P1908,P1909,Standard Gauge Track,null,0.0,,,,,
N337,262770.71523745,314450.4630148684,P1909,P1910,Standard Gauge Track,null,0.0,,,,,
N339,262737.08585120784,314493.6452105239,P1910,P2811,Standard Gauge Track,null,0.0,,,,,
N344,262337.16437533905,315000.4470799443,P1912,P2810,Standard Gauge Track,null,0.0,,,,,
N346,261982.4909652211,315449.36135132733,P1913,P2940,Standard Gauge Track,null,0.0,,,,,
N350,261946.37185522018,315493.4841233177,P1913,P1914,Standard Gauge Track,null,0.0,,,,,
N356,261918.68849149946,315518.4658880993,P1914,P1915,Standard Gauge Track,null,0.0,,,,,
N363,261882.55362189497,315538.4417844216,P1915,P1916,Standard Gauge Track,null,0.0,,,,,
N367,261856.81117637327,315547.4068322049,P1916,P1917,Standard Gauge Track,null,0.0,,,,,
N370,261831.14742168057,315553.88779764064,P1917,P1918,Standard Gauge Track,null,0.0,,,,,
N616,261055.65154323805,316019.9250579669,P1952,P1953,Standard Gauge Track,null,0.0,,,,,
N620,261051.85907621193,316025.70938414126,P1953,P1954,P1958,Standard Gauge Track,null,0.0,,Points:P1954-P1958/(P1953),,,
N625,261045.37556366282,316028.01881138433,P1942,P1943,Standard Gauge Track,null,0.0,,,Signal,P1943,
N632,261043.72539379925,316036.45579126483,P1955,P1959,Standard Gauge Track,null,0.0,,,,,
N633,261047.82734989066,316031.2532991107,P1954,P1955,Standard Gauge Track,null,0.0,,,Signal,P1955,
N709,260925.29573491486,316185.623491687,P1945,P1946,P1951,Standard Gauge Track,null,0.0,,Points:P1946-P1951/(P1945),,,N709
N711,260906.46216677304,316213.9140741416,P1946,P1947,Standard Gauge Track,null,0.0,,,Signal,P1947,
N714,260708.23860073683,316548.97632025665,P1948,P1964,Standard Gauge Track,null,0.0,,,,,
N723,260324.67084620276,317203.28251044184,P1964,P1965,Standard Gauge Track,null,0.0,,,,,
N735,260063.01416049755,317642.23144047335,P1965,P1966,Standard Gauge Track,null,0.0,,,,,
N736,260033.9139072094,317682.96179521666,P1966,P1967,Standard Gauge Track,null,0.0,,,,,
N737,259999.39365575288,317731.3417389358,P1967,P1968,Standard Gauge Track,null,0.0,,,,,
N738,259990.8846346636,317744.6302144057,P1968,P1969,Standard Gauge Track,null,0.0,,,,,
N742,259969.91402636,317778.57425149047,P1969,P1970,Standard Gauge Track,null,0.0,,,,,
N745,259955.46823802846,317804.98359293526,P1970,P1971,Standard Gauge Track,null,0.0,,,,,
N747,259946.55273456333,317822.57464709535,P1971,P1972,Standard Gauge Track,null,0.0,,,,,
N792,260943.60761101643,316154.9956302338,P1950,P1951,Standard Gauge Track,null,0.0,,,Signal,P1950,
N793,260953.64378861527,316139.66828199005,P1949,P1950,Standard Gauge Track,null,0.0,,,,,
N797,260948.5659255693,316152.26843903644,P1943,P1944,Standard Gauge Track,null,0.0,,,Signal,P1943,
N812,260932.7575376264,316174.61617248534,P1944,P1945,Standard Gauge Track,null,0.0,,,,,
N814,260897.45194103222,316234.6306720802,P1963,Standard Gauge Track,null,0.0,,Edge,,,
N817,260922.17272277718,316195.19793045486,P1962,P1963,Standard Gauge Track,null,0.0,,,,,
N819,260941.29296815844,316167.1693792227,P1961,P1962,Standard Gauge Track,null,0.0,,,,,
N823,260997.04626841817,316095.1121086028,P1959,P1960,Standard Gauge Track,null,0.0,,,,,
N831,260957.32524101937,316145.3759849661,P1960,P1961,Standard Gauge Track,null,0.0,,,,,
N841,260962.0270953977,316128.57362462726,P1938,P1949,Standard Gauge Track,null,0.0,,,,,
N963,259916.56723959028,317886.1140002057,P1972,P1973,Standard Gauge Track,null,0.0,,,,,
N967,259879.55473790222,317972.49222045986,P1973,P1974,Standard Gauge Track,null,0.0,,,,,
N974,259853.061754392,318041.98902925575,P1975,P2877,Standard Gauge Track,null,0.0,,,,,
N1018,259081.3398580731,320238.97705062845,P1977,P2943,Standard Gauge Track,null,0.0,,,,,
N1051,259435.81925111188,319226.77551982744,P1976,P2942,Standard Gauge Track,null,0.0,,,,,
